winner,loser,weight
Florida Atlantic,Charlotte,30.0
Florida State,Duquesne,40.0
Illinois,Wyoming,32.0
Nevada,New Mexico State,11.0
Nevada-Las Vegas,Idaho State,31.0
North Carolina,Florida A&M,32.0
North Texas,Texas-El Paso,18.0
Northwestern,Nebraska,3.0
Utah State,Connecticut,11.0
Vanderbilt,Hawaii,53.0
Western Kentucky,Austin Peay,11.0
Akron,St. Francis (PA),7.0
Alabama-Birmingham,Alabama A&M,59.0
Arizona State,Northern Arizona,37.0
Central Florida,South Carolina State,46.0
Florida International,Bryant,1.0
Fresno State,Cal Poly,28.0
Minnesota,New Mexico State,38.0
Missouri,Louisiana Tech,28.0
Northern Illinois,Eastern Illinois,7.0
Oklahoma State,Central Michigan,14.0
Penn State,Purdue,4.0
Pittsburgh,West Virginia,7.0
San Jose State,Portland State,4.0
Tennessee,Ball State,49.0
Toledo,Long Island,37.0
Wake Forest,Virginia Military Institute,34.0
Duke,Temple,30.0
Eastern Michigan,Eastern Kentucky,8.0
Indiana,Illinois,3.0
Kansas,Tennessee Tech,46.0
Michigan State,Western Michigan,22.0
Old Dominion,Virginia Tech,3.0
Texas Christian,Colorado,25.0
William & Mary,Charlotte,17.0
Air Force,Northern Iowa,31.0
Alabama,Utah State,55.0
Arizona,San Diego State,18.0
Arkansas,Cincinnati,7.0
Arkansas State,Grambling State,55.0
Auburn,Mercer,26.0
Baylor,Albany,59.0
Brigham Young,South Florida,29.0
California,California-Davis,21.0
Coastal Carolina,Army,10.0
Connecticut,Central Connecticut State,25.0
Delaware,Navy,7.0
Florida,Utah,3.0
Georgia,Oregon,46.0
Georgia Southern,Morgan State,52.0
Houston,Texas-San Antonio,2.0
Iowa,South Dakota State,4.0
Iowa State,Southeast Missouri State,32.0
James Madison,Middle Tennessee State,37.0
Kansas State,South Dakota,34.0
Kentucky,Miami (OH),24.0
Liberty,Southern Mississippi,2.0
Louisiana,Southeastern Louisiana,17.0
Marshall,Norfolk State,52.0
Maryland,Buffalo,21.0
Miami (FL),Bethune-Cookman,57.0
Michigan,Colorado State,44.0
Mississippi,Troy,18.0
Mississippi State,Memphis,26.0
Nebraska,North Dakota,21.0
Nevada,Texas State,24.0
New Mexico,Maine,41.0
North Carolina,Appalachian State,2.0
North Carolina State,East Carolina,1.0
Ohio,Florida Atlantic,3.0
Ohio State,Notre Dame,11.0
Oklahoma,Texas-El Paso,32.0
Oregon State,Boise State,17.0
Rutgers,Boston College,1.0
South Alabama,Nicholls State,41.0
South Carolina,Georgia State,21.0
Southern California,Rice,52.0
Southern Methodist,North Texas,38.0
Stanford,Colgate,31.0
Syracuse,Louisville,24.0
Texas,Louisiana-Monroe,42.0
Texas A&M,Sam Houston State,31.0
Texas Tech,Murray State,53.0
Tulane,Massachusetts,32.0
UCLA,Bowling Green,28.0
Vanderbilt,Elon,11.0
Virginia,Richmond,17.0
Washington,Kent State,25.0
Washington State,Idaho,7.0
Wisconsin,Illinois State,38.0
Wyoming,Tulsa,3.0
Florida State,Louisiana State,1.0
Western Kentucky,Hawaii,32.0
Clemson,Georgia Tech,31.0
Boise State,New Mexico,17.0
Louisville,Central Florida,6.0
Air Force,Colorado,31.0
Alabama,Texas,1.0
Appalachian State,Texas A&M,3.0
Arkansas,South Carolina,14.0
Auburn,San Jose State,8.0
Brigham Young,Baylor,6.0
California,Nevada-Las Vegas,6.0
Cincinnati,Kennesaw State,53.0
Clemson,Furman,23.0
Coastal Carolina,Gardner-Webb,4.0
Duke,Northwestern,8.0
East Carolina,Old Dominion,18.0
Eastern Kentucky,Bowling Green,2.0
Florida Atlantic,Southeastern Louisiana,33.0
Georgia,Samford,33.0
Georgia Southern,Nebraska,3.0
Georgia Tech,Western Carolina,18.0
Holy Cross,Buffalo,6.0
Illinois,Virginia,21.0
Incarnate Word,Nevada,14.0
Indiana,Idaho,13.0
Iowa State,Iowa,3.0
James Madison,Norfolk State,56.0
Kansas,West Virginia,13.0
Kansas State,Missouri,28.0
Kentucky,Florida,10.0
Liberty,Alabama-Birmingham,7.0
Louisiana,Eastern Michigan,28.0
Louisiana State,Southern,48.0
Louisiana Tech,Stephen F. Austin,35.0
Louisiana-Monroe,Nicholls State,28.0
Marshall,Notre Dame,5.0
Maryland,Charlotte,35.0
Memphis,Navy,24.0
Miami (FL),Southern Mississippi,23.0
Miami (OH),Robert Morris,17.0
Michigan,Hawaii,46.0
Michigan State,Akron,52.0
Middle Tennessee State,Colorado State,15.0
Minnesota,Western Illinois,52.0
Mississippi,Central Arkansas,56.0
Mississippi State,Arizona,22.0
North Carolina,Georgia State,7.0
North Carolina State,Charleston Southern,52.0
North Texas,Texas Southern,32.0
Ohio State,Arkansas State,33.0
Oklahoma,Kent State,30.0
Oklahoma State,Arizona State,17.0
Oregon,Eastern Washington,56.0
Oregon State,Fresno State,3.0
Penn State,Ohio,36.0
Purdue,Indiana State,56.0
Rice,McNeese State,42.0
Rutgers,Wagner,59.0
San Diego State,Idaho State,31.0
South Alabama,Central Michigan,14.0
South Florida,Howard,22.0
Southern California,Stanford,13.0
Southern Methodist,Lamar,29.0
Syracuse,Connecticut,34.0
Temple,Lafayette,16.0
Tennessee,Pittsburgh,7.0
Texas Christian,Tarleton State,42.0
Texas State,Florida International,29.0
Texas Tech,Houston,3.0
Texas-El Paso,New Mexico State,7.0
